,database,topic,scuSentCharIdx,documentFile,docSentCharIdx,docSpanOieOffsets,docSpanOffsets,summarySpanOieOffsets,summarySpanOffsets
20,2005,d345,8385,FT921-10767,1309,"1309, 1339;1350, 1367","1309, 1418","8385, 8428","8385, 8428"
21,2005,d345,8385,FT921-10767,1309,"1309, 1348;1369, 1419","1309, 1418","8385, 8428","8385, 8428"
22,2005,d345,10365,FT921-10767,1309,"1309, 1339;1350, 1367","1309, 1418","10365, 10369;10420, 10504","10416, 10457"
23,2005,d345,10365,FT921-10767,1309,"1309, 1348;1369, 1419","1309, 1418","10365, 10369;10420, 10504","10416, 10457"
24,2005,d345,6702,FT921-10767,1309,"1309, 1339;1350, 1367","1309, 1418","6702, 6760;6762, 6820;6822, 6866","6822, 6866"
25,2005,d345,6702,FT921-10767,1309,"1309, 1348;1369, 1419","1309, 1418","6702, 6760;6762, 6820;6822, 6866","6822, 6866"
26,2005,d345,6702,FT921-10767,1309,"1309, 1339;1350, 1367","1309, 1418","6702, 6760;6822, 6928","6822, 6866"
27,2005,d345,6702,FT921-10767,1309,"1309, 1348;1369, 1419","1309, 1418","6702, 6760;6822, 6928","6822, 6866"
28,2005,d345,5563,FT921-10767,1309,"1309, 1339;1350, 1367","1309, 1418","5572, 5600","5563, 5601"
29,2005,d345,5563,FT921-10767,1309,"1309, 1348;1369, 1419","1309, 1418","5572, 5600","5563, 5601"
30,2005,d345,3335,FT921-10767,1309,"1309, 1339;1350, 1367","1309, 1418","3335, 3404","3335, 3403"
31,2005,d345,3335,FT921-10767,1309,"1309, 1348;1369, 1419","1309, 1418","3335, 3404","3335, 3403"
32,2005,d345,1946,FT921-10767,1309,"1309, 1339;1350, 1367","1309, 1418","1946, 2123","1946, 2037;2124, 2191"
33,2005,d345,1946,FT921-10767,1309,"1309, 1348;1369, 1419","1309, 1418","1946, 2123","1946, 2037;2124, 2191"
34,2005,d345,1946,FT921-10767,1309,"1309, 1339;1350, 1367","1309, 1418","1981, 2037","1946, 2037;2124, 2191"
35,2005,d345,1946,FT921-10767,1309,"1309, 1348;1369, 1419","1309, 1418","1981, 2037","1946, 2037;2124, 2191"
36,2005,d345,2124,FT921-10767,1309,"1309, 1339;1350, 1367","1309, 1418","2124, 2126;2128, 2278","1946, 2037;2124, 2191"
37,2005,d345,2124,FT921-10767,1309,"1309, 1348;1369, 1419","1309, 1418","2124, 2126;2128, 2278","1946, 2037;2124, 2191"
38,2005,d345,622,FT921-10767,1309,"1309, 1339;1350, 1367","1309, 1418","622, 723","622, 677"
39,2005,d345,622,FT921-10767,1309,"1309, 1348;1369, 1419","1309, 1418","622, 723","622, 677"
40,2005,d345,8385,FT921-11387,0,"0, 70","0, 129","8385, 8428","8385, 8428"
41,2005,d345,8385,FT921-11387,0,"33, 70;76, 130","0, 129","8385, 8428","8385, 8428"
42,2005,d345,8385,FT921-11387,131,"131, 362","216, 357","8385, 8428","8385, 8428"
43,2005,d345,8385,FT921-11387,701,"701, 715;734, 822","734, 844","8385, 8428","8385, 8428"
44,2005,d345,8385,FT921-11387,701,"739, 845","734, 844","8385, 8428","8385, 8428"
45,2005,d345,8385,FT921-11387,923,"923, 936;1029, 1033;1036, 1090","923, 936;1029, 1089","8385, 8428","8385, 8428"
46,2005,d345,10365,FT921-11387,0,"0, 70","0, 129","10365, 10369;10420, 10504","10416, 10457"
47,2005,d345,10365,FT921-11387,0,"33, 70;76, 130","0, 129","10365, 10369;10420, 10504","10416, 10457"
48,2005,d345,10365,FT921-11387,131,"131, 362","216, 357","10365, 10369;10420, 10504","10416, 10457"
49,2005,d345,10365,FT921-11387,701,"701, 715;734, 822","734, 844","10365, 10369;10420, 10504","10416, 10457"
50,2005,d345,10365,FT921-11387,701,"739, 845","734, 844","10365, 10369;10420, 10504","10416, 10457"
51,2005,d345,10365,FT921-11387,923,"923, 936;1029, 1033;1036, 1090","923, 936;1029, 1089","10365, 10369;10420, 10504","10416, 10457"
52,2005,d345,6702,FT921-11387,0,"0, 70","0, 129","6702, 6760;6762, 6820;6822, 6866","6822, 6866"
53,2005,d345,6702,FT921-11387,0,"33, 70;76, 130","0, 129","6702, 6760;6762, 6820;6822, 6866","6822, 6866"
54,2005,d345,6702,FT921-11387,131,"131, 362","216, 357","6702, 6760;6762, 6820;6822, 6866","6822, 6866"
55,2005,d345,6702,FT921-11387,701,"701, 715;734, 822","734, 844","6702, 6760;6762, 6820;6822, 6866","6822, 6866"
56,2005,d345,6702,FT921-11387,701,"739, 845","734, 844","6702, 6760;6762, 6820;6822, 6866","6822, 6866"
57,2005,d345,6702,FT921-11387,923,"923, 936;1029, 1033;1036, 1090","923, 936;1029, 1089","6702, 6760;6762, 6820;6822, 6866","6822, 6866"
58,2005,d345,6702,FT921-11387,0,"0, 70","0, 129","6702, 6760;6822, 6928","6822, 6866"
59,2005,d345,6702,FT921-11387,0,"33, 70;76, 130","0, 129","6702, 6760;6822, 6928","6822, 6866"
60,2005,d345,6702,FT921-11387,131,"131, 362","216, 357","6702, 6760;6822, 6928","6822, 6866"
61,2005,d345,6702,FT921-11387,701,"701, 715;734, 822","734, 844","6702, 6760;6822, 6928","6822, 6866"
62,2005,d345,6702,FT921-11387,701,"739, 845","734, 844","6702, 6760;6822, 6928","6822, 6866"
63,2005,d345,6702,FT921-11387,923,"923, 936;1029, 1033;1036, 1090","923, 936;1029, 1089","6702, 6760;6822, 6928","6822, 6866"
64,2005,d345,5563,FT921-11387,0,"0, 70","0, 129","5572, 5600","5563, 5601"
65,2005,d345,5563,FT921-11387,0,"33, 70;76, 130","0, 129","5572, 5600","5563, 5601"
66,2005,d345,5563,FT921-11387,131,"131, 362","216, 357","5572, 5600","5563, 5601"
67,2005,d345,5563,FT921-11387,701,"701, 715;734, 822","734, 844","5572, 5600","5563, 5601"
68,2005,d345,5563,FT921-11387,701,"739, 845","734, 844","5572, 5600","5563, 5601"
69,2005,d345,5563,FT921-11387,923,"923, 936;1029, 1033;1036, 1090","923, 936;1029, 1089","5572, 5600","5563, 5601"
70,2005,d345,3335,FT921-11387,0,"0, 70","0, 129","3335, 3404","3335, 3403"
71,2005,d345,3335,FT921-11387,0,"33, 70;76, 130","0, 129","3335, 3404","3335, 3403"
72,2005,d345,3335,FT921-11387,131,"131, 362","216, 357","3335, 3404","3335, 3403"
73,2005,d345,3335,FT921-11387,701,"701, 715;734, 822","734, 844","3335, 3404","3335, 3403"
74,2005,d345,3335,FT921-11387,701,"739, 845","734, 844","3335, 3404","3335, 3403"
75,2005,d345,3335,FT921-11387,923,"923, 936;1029, 1033;1036, 1090","923, 936;1029, 1089","3335, 3404","3335, 3403"
76,2005,d345,1946,FT921-11387,0,"0, 70","0, 129","1946, 2123","1946, 2037;2124, 2191"
77,2005,d345,1946,FT921-11387,0,"33, 70;76, 130","0, 129","1946, 2123","1946, 2037;2124, 2191"
78,2005,d345,1946,FT921-11387,131,"131, 362","216, 357","1946, 2123","1946, 2037;2124, 2191"
79,2005,d345,1946,FT921-11387,701,"701, 715;734, 822","734, 844","1946, 2123","1946, 2037;2124, 2191"
80,2005,d345,1946,FT921-11387,701,"739, 845","734, 844","1946, 2123","1946, 2037;2124, 2191"
81,2005,d345,1946,FT921-11387,923,"923, 936;1029, 1033;1036, 1090","923, 936;1029, 1089","1946, 2123","1946, 2037;2124, 2191"
82,2005,d345,1946,FT921-11387,0,"0, 70","0, 129","1981, 2037","1946, 2037;2124, 2191"
83,2005,d345,1946,FT921-11387,0,"33, 70;76, 130","0, 129","1981, 2037","1946, 2037;2124, 2191"
84,2005,d345,1946,FT921-11387,131,"131, 362","216, 357","1981, 2037","1946, 2037;2124, 2191"
85,2005,d345,1946,FT921-11387,701,"701, 715;734, 822","734, 844","1981, 2037","1946, 2037;2124, 2191"
86,2005,d345,1946,FT921-11387,701,"739, 845","734, 844","1981, 2037","1946, 2037;2124, 2191"
87,2005,d345,1946,FT921-11387,923,"923, 936;1029, 1033;1036, 1090","923, 936;1029, 1089","1981, 2037","1946, 2037;2124, 2191"
88,2005,d345,2124,FT921-11387,0,"0, 70","0, 129","2124, 2126;2128, 2278","1946, 2037;2124, 2191"
89,2005,d345,2124,FT921-11387,0,"33, 70;76, 130","0, 129","2124, 2126;2128, 2278","1946, 2037;2124, 2191"
90,2005,d345,2124,FT921-11387,131,"131, 362","216, 357","2124, 2126;2128, 2278","1946, 2037;2124, 2191"
91,2005,d345,2124,FT921-11387,701,"701, 715;734, 822","734, 844","2124, 2126;2128, 2278","1946, 2037;2124, 2191"
92,2005,d345,2124,FT921-11387,701,"739, 845","734, 844","2124, 2126;2128, 2278","1946, 2037;2124, 2191"
93,2005,d345,2124,FT921-11387,923,"923, 936;1029, 1033;1036, 1090","923, 936;1029, 1089","2124, 2126;2128, 2278","1946, 2037;2124, 2191"
94,2005,d345,622,FT921-11387,0,"0, 70","0, 129","622, 723","622, 677"
95,2005,d345,622,FT921-11387,0,"33, 70;76, 130","0, 129","622, 723","622, 677"
96,2005,d345,622,FT921-11387,131,"131, 362","216, 357","622, 723","622, 677"
97,2005,d345,622,FT921-11387,701,"701, 715;734, 822","734, 844","622, 723","622, 677"
98,2005,d345,622,FT921-11387,701,"739, 845","734, 844","622, 723","622, 677"
99,2005,d345,622,FT921-11387,923,"923, 936;1029, 1033;1036, 1090","923, 936;1029, 1089","622, 723","622, 677"
100,2005,d345,6929,FT921-11387,923,"938, 1027","938, 1027","6929, 6971;6978, 7115","6929, 6988"
101,2005,d345,2279,FT921-11387,5483,"5557, 5664","5597, 5642","2298, 2330","2279, 2330;2528, 2572"
102,2005,d345,2279,FT921-11387,5483,"5557, 5664","5597, 5642","2279, 2307;2316, 2374","2279, 2330;2528, 2572"
103,2005,d345,2433,FT921-11387,5483,"5557, 5664","5597, 5642","2497, 2573","2279, 2330;2528, 2572"
104,2005,d345,2433,FT921-11387,5483,"5483, 5596","5483, 5596","2433, 2527","2433, 2527"
105,2005,d345,2433,FT921-11387,5483,"5483, 5536;5669, 5700","5483, 5596","2433, 2527","2433, 2527"
106,2005,d345,1720,FT921-11612,1494,"1606, 1617;1635, 1681","1594, 1680","1720, 1869","1720, 1789;3237, 3277"
107,2005,d345,1720,FT921-11612,1494,"1606, 1617;1635, 1681","1594, 1680","1720, 1762;1893, 1945","1720, 1789;3237, 3277"
108,2005,d345,3153,FT921-11612,1494,"1606, 1617;1635, 1681","1594, 1680","3212, 3278","1720, 1789;3237, 3277"
109,2005,d345,10274,FT921-11612,1494,"1606, 1617;1635, 1681","1594, 1680","10274, 10321;10323, 10364","10323, 10363"
110,2005,d345,60,FT921-11612,1494,"1606, 1617;1635, 1681","1594, 1680","69, 221","60, 147"
111,2005,d345,6929,FT921-11612,1494,"1494, 1627","1494, 1593","6929, 6971;6978, 7115","6929, 6988"
112,2005,d345,11188,FT921-11612,2023,"2023, 2084","2023, 2084","11188, 11202;11320, 11356;11364, 11371","11316, 11372"
113,2005,d345,8864,FT921-11612,2023,"2023, 2084","2023, 2084","8864, 8923","8884, 8922"
114,2005,d345,6929,FT921-11612,2023,"2023, 2084","2023, 2084","6929, 6971;6978, 7115","6989, 7076"
115,2005,d345,3153,FT921-11612,2023,"2023, 2084","2023, 2084","3153, 3278","3153, 3236"
116,2005,d345,60,FT921-11612,2023,"2023, 2084","2023, 2084","223, 351","250, 285"
117,2005,d345,5563,FT921-11612,2023,"2023, 2084","2023, 2084","5610, 5613;5618, 5670","5624, 5669"
118,2005,d345,11513,FT921-16023,0,"0, 19;69, 131","0, 19;69, 166","11513, 11552","11513, 11552"
119,2005,d345,11513,FT921-16023,0,"94, 167","0, 19;69, 166","11513, 11552","11513, 11552"
120,2005,d345,6929,FT921-16023,725,"725, 738;784, 792;794, 814","725, 738;794, 813","6929, 6971;6978, 7115","6929, 6988"
121,2005,d345,11513,FT922-123,0,"0, 61","0, 156","11513, 11515;11554, 11593","11554, 11593"
122,2005,d345,11513,FT922-123,0,"0, 11;63, 111","0, 156","11513, 11515;11554, 11593","11554, 11593"
123,2005,d345,11513,FT922-123,0,"113, 132;133, 157","0, 156","11513, 11515;11554, 11593","11554, 11593"
124,2005,d345,2930,FT922-5785,0,"0, 113","0, 113","2930, 2990","2930, 2989"
125,2005,d345,2930,FT922-5785,230,"230, 312","230, 305","2930, 2990","2930, 2989"
126,2005,d345,866,FT922-5785,230,"293, 319;326, 374","306, 374","866, 982","866, 981"
127,2005,d345,4292,FT923-4661,1247,"1247, 1268;1282, 1411","1247, 1416","4292, 4362","4292, 4361"
128,2005,d345,4292,FT923-4661,1247,"1247, 1255;1259, 1411","1247, 1416","4292, 4362","4292, 4361"
129,2005,d345,2375,FT923-4661,1247,"1247, 1268;1282, 1411","1247, 1416","2375, 2432","2375, 2431"
130,2005,d345,2375,FT923-4661,1247,"1247, 1255;1259, 1411","1247, 1416","2375, 2432","2375, 2431"
131,2005,d345,6929,FT931-12632,0,"62, 136","62, 202","6929, 6971;6978, 7115","6929, 6988"
132,2005,d345,1946,FT931-16417,271,"271, 319;340, 456","350, 455","1946, 2123","2039, 2122"
133,2005,d345,1946,FT931-16417,457,"457, 460;494, 641","457, 640","1946, 2123","2039, 2122"
134,2005,d345,10825,FT931-16417,271,"271, 319;340, 456","350, 455","10825, 10827;10833, 10864","10825, 10864"
135,2005,d345,10825,FT931-16417,457,"457, 460;494, 641","457, 640","10825, 10827;10833, 10864","10825, 10864"
136,2005,d345,6147,FT931-16417,271,"271, 319;340, 456","350, 455","6147, 6360","6147, 6234"
137,2005,d345,6147,FT931-16417,457,"457, 460;494, 641","457, 640","6147, 6360","6147, 6234"
138,2005,d345,8385,FT931-16417,642,"733, 937","791, 935","8385, 8428","8385, 8428"
139,2005,d345,10365,FT931-16417,642,"733, 937","791, 935","10365, 10369;10420, 10504","10416, 10457"
140,2005,d345,6702,FT931-16417,642,"733, 937","791, 935","6702, 6760;6762, 6820;6822, 6866","6822, 6866"
141,2005,d345,6702,FT931-16417,642,"733, 937","791, 935","6702, 6760;6822, 6928","6822, 6866"
142,2005,d345,5563,FT931-16417,642,"733, 937","791, 935","5572, 5600","5563, 5601"
143,2005,d345,3335,FT931-16417,642,"733, 937","791, 935","3335, 3404","3335, 3403"
144,2005,d345,1946,FT931-16417,642,"733, 937","791, 935","1946, 2123","1946, 2037;2124, 2191"
145,2005,d345,1946,FT931-16417,642,"733, 937","791, 935","1981, 2037","1946, 2037;2124, 2191"
146,2005,d345,2124,FT931-16417,642,"733, 937","791, 935","2124, 2126;2128, 2278","1946, 2037;2124, 2191"
147,2005,d345,622,FT931-16417,642,"733, 937","791, 935","622, 723","622, 677"
148,2005,d345,2279,FT931-16417,1735,"1915, 1961","1915, 1960","2298, 2330","2279, 2330;2528, 2572"
149,2005,d345,2279,FT931-16417,1735,"1915, 1961","1915, 1960","2279, 2307;2316, 2374","2279, 2330;2528, 2572"
150,2005,d345,2433,FT931-16417,1735,"1915, 1961","1915, 1960","2497, 2573","2279, 2330;2528, 2572"
151,2005,d345,9024,FT931-16417,1735,"1735, 1748;1778, 1840","1774, 1913","9024, 9086;9088, 9124","9088, 9123"
152,2005,d345,9024,FT931-16417,1735,"1825, 1871","1774, 1913","9024, 9086;9088, 9124","9088, 9123"
153,2005,d345,9024,FT931-16417,1735,"1865, 1913","1774, 1913","9024, 9086;9088, 9124","9088, 9123"
154,2005,d345,10609,FT931-16417,1735,"1735, 1748;1778, 1840","1774, 1913","10609, 10677;10722, 10792","10718, 10823"
155,2005,d345,10609,FT931-16417,1735,"1825, 1871","1774, 1913","10609, 10677;10722, 10792","10718, 10823"
156,2005,d345,10609,FT931-16417,1735,"1865, 1913","1774, 1913","10609, 10677;10722, 10792","10718, 10823"
157,2005,d345,10609,FT931-16417,1735,"1735, 1748;1778, 1840","1774, 1913","10609, 10646;10764, 10824","10718, 10823"
158,2005,d345,10609,FT931-16417,1735,"1825, 1871","1774, 1913","10609, 10646;10764, 10824","10718, 10823"
159,2005,d345,10609,FT931-16417,1735,"1865, 1913","1774, 1913","10609, 10646;10764, 10824","10718, 10823"
160,2005,d345,6367,FT932-11887,0,"66, 120","0, 11;44, 168","6367, 6494","6450, 6494"
161,2005,d345,6367,FT932-11887,0,"89, 122;129, 165","0, 11;44, 168","6367, 6494","6450, 6494"
162,2005,d345,1720,FT932-11887,898,"1074, 1140","1063, 1139","1720, 1869","1720, 1789;3237, 3277"
163,2005,d345,1720,FT932-11887,898,"1074, 1140","1063, 1139","1720, 1762;1893, 1945","1720, 1789;3237, 3277"
164,2005,d345,3153,FT932-11887,898,"1074, 1140","1063, 1139","3212, 3278","1720, 1789;3237, 3277"
165,2005,d345,10274,FT932-11887,898,"1074, 1140","1063, 1139","10274, 10321;10323, 10364","10323, 10363"
166,2005,d345,60,FT932-11887,898,"1074, 1140","1063, 1139","69, 221","60, 147"
167,2005,d345,2785,FT933-608,0,"0, 13;55, 93","0, 185","2785, 2796;2802, 2867","2785, 2866"
168,2005,d345,2785,FT933-608,0,"0, 13;58, 195","0, 185","2785, 2796;2802, 2867","2785, 2866"
169,2005,d345,2785,FT933-608,250,"351, 357;361, 415","334, 463","2785, 2796;2802, 2867","2785, 2866"
170,2005,d345,2785,FT933-608,250,"417, 463;470, 484","334, 463","2785, 2796;2802, 2867","2785, 2866"
171,2005,d345,1099,FT933-608,0,"0, 13;55, 93","0, 185","1099, 1106;1108, 1150","1099, 1150"
172,2005,d345,1099,FT933-608,0,"0, 13;58, 195","0, 185","1099, 1106;1108, 1150","1099, 1150"
173,2005,d345,1099,FT933-608,250,"351, 357;361, 415","334, 463","1099, 1106;1108, 1150","1099, 1150"
174,2005,d345,1099,FT933-608,250,"417, 463;470, 484","334, 463","1099, 1106;1108, 1150","1099, 1150"
175,2005,d345,5671,FT933-608,0,"0, 13;55, 93","0, 185","5671, 5688;5690, 5817","5690, 5775;5806, 5816"
176,2005,d345,5671,FT933-608,0,"0, 13;58, 195","0, 185","5671, 5688;5690, 5817","5690, 5775;5806, 5816"
177,2005,d345,5671,FT933-608,250,"351, 357;361, 415","334, 463","5671, 5688;5690, 5817","5690, 5775;5806, 5816"
178,2005,d345,5671,FT933-608,250,"417, 463;470, 484","334, 463","5671, 5688;5690, 5817","5690, 5775;5806, 5816"
179,2005,d345,9125,FT933-608,0,"0, 13;55, 93","0, 185","9125, 9127;9133, 9236","9125, 9165;9204, 9214"
180,2005,d345,9125,FT933-608,0,"0, 13;58, 195","0, 185","9125, 9127;9133, 9236","9125, 9165;9204, 9214"
181,2005,d345,9125,FT933-608,250,"351, 357;361, 415","334, 463","9125, 9127;9133, 9236","9125, 9165;9204, 9214"
182,2005,d345,9125,FT933-608,250,"417, 463;470, 484","334, 463","9125, 9127;9133, 9236","9125, 9165;9204, 9214"
183,2005,d345,10825,FT933-608,0,"0, 13;55, 93","0, 185","10825, 10827;10875, 10897;10902, 10948","10898, 10947"
184,2005,d345,10825,FT933-608,0,"0, 13;58, 195","0, 185","10825, 10827;10875, 10897;10902, 10948","10898, 10947"
185,2005,d345,10825,FT933-608,250,"351, 357;361, 415","334, 463","10825, 10827;10875, 10897;10902, 10948","10898, 10947"
186,2005,d345,10825,FT933-608,250,"417, 463;470, 484","334, 463","10825, 10827;10875, 10897;10902, 10948","10898, 10947"
187,2005,d345,622,FT933-608,250,"250, 327;329, 357","250, 333","622, 723","679, 722"
188,2005,d345,8385,FT933-608,1707,"1707, 1821","1707, 1821","8385, 8428","8385, 8428"
189,2005,d345,10365,FT933-608,1707,"1707, 1821","1707, 1821","10365, 10369;10420, 10504","10416, 10457"
190,2005,d345,6702,FT933-608,1707,"1707, 1821","1707, 1821","6702, 6760;6762, 6820;6822, 6866","6822, 6866"
191,2005,d345,6702,FT933-608,1707,"1707, 1821","1707, 1821","6702, 6760;6822, 6928","6822, 6866"
192,2005,d345,5563,FT933-608,1707,"1707, 1821","1707, 1821","5572, 5600","5563, 5601"
193,2005,d345,3335,FT933-608,1707,"1707, 1821","1707, 1821","3335, 3404","3335, 3403"
194,2005,d345,1946,FT933-608,1707,"1707, 1821","1707, 1821","1946, 2123","1946, 2037;2124, 2191"
195,2005,d345,1946,FT933-608,1707,"1707, 1821","1707, 1821","1981, 2037","1946, 2037;2124, 2191"
196,2005,d345,2124,FT933-608,1707,"1707, 1821","1707, 1821","2124, 2126;2128, 2278","1946, 2037;2124, 2191"
197,2005,d345,622,FT933-608,1707,"1707, 1821","1707, 1821","622, 723","622, 677"
198,2005,d345,11188,FT933-608,1707,"1785, 1821;1829, 1877","1823, 1877","11188, 11202;11320, 11356;11364, 11371","11316, 11372"
199,2005,d345,8864,FT933-608,1707,"1785, 1821;1829, 1877","1823, 1877","8864, 8923","8884, 8922"
200,2005,d345,6929,FT933-608,1707,"1785, 1821;1829, 1877","1823, 1877","6929, 6971;6978, 7115","6989, 7076"
201,2005,d345,3153,FT933-608,1707,"1785, 1821;1829, 1877","1823, 1877","3153, 3278","3153, 3236"
202,2005,d345,60,FT933-608,1707,"1785, 1821;1829, 1877","1823, 1877","223, 351","250, 285"
203,2005,d345,5563,FT933-608,1707,"1785, 1821;1829, 1877","1823, 1877","5610, 5613;5618, 5670","5624, 5669"
204,2005,d345,1720,FT933-608,1707,"1894, 1917;1925, 1961","1879, 1960","1720, 1869","1720, 1789;3237, 3277"
205,2005,d345,1720,FT933-608,1707,"1894, 1917;1925, 1961","1879, 1960","1720, 1762;1893, 1945","1720, 1789;3237, 3277"
206,2005,d345,3153,FT933-608,1707,"1894, 1917;1925, 1961","1879, 1960","3212, 3278","1720, 1789;3237, 3277"
207,2005,d345,10274,FT933-608,1707,"1894, 1917;1925, 1961","1879, 1960","10274, 10321;10323, 10364","10323, 10363"
208,2005,d345,60,FT933-608,1707,"1894, 1917;1925, 1961","1879, 1960","69, 221","60, 147"
209,2005,d345,1946,FT934-13045,2636,"2636, 2645;2647, 2688;2690, 2804","2636, 2645;2690, 2804","1946, 2123","2039, 2122"
210,2005,d345,1946,FT934-13045,5884,"5884, 5964","5884, 5965","1946, 2123","2039, 2122"
211,2005,d345,10825,FT934-13045,2636,"2636, 2645;2647, 2688;2690, 2804","2636, 2645;2690, 2804","10825, 10827;10833, 10864","10825, 10864"
212,2005,d345,10825,FT934-13045,5884,"5884, 5964","5884, 5965","10825, 10827;10833, 10864","10825, 10864"
213,2005,d345,6147,FT934-13045,2636,"2636, 2645;2647, 2688;2690, 2804","2636, 2645;2690, 2804","6147, 6360","6147, 6234"
214,2005,d345,6147,FT934-13045,5884,"5884, 5964","5884, 5965","6147, 6360","6147, 6234"
215,2005,d345,1720,FT934-13045,3365,"3386, 3428","3365, 3428","1720, 1869","1790, 1837"
216,2005,d345,10274,FT934-13045,3365,"3386, 3428","3365, 3428","10274, 10321;10323, 10364","10274, 10321"
217,2005,d345,5101,FT934-13045,3365,"3386, 3428","3365, 3428","5101, 5239","5101, 5302;6367, 6449"
218,2005,d345,5101,FT934-13045,3365,"3386, 3428","3365, 3428","5218, 5228;5240, 5303","5101, 5302;6367, 6449"
219,2005,d345,9024,FT934-13045,5653,"5819, 5837;5843, 5883","5815, 5882","9024, 9086;9088, 9124","9088, 9123"
220,2005,d345,10609,FT934-13045,5653,"5819, 5837;5843, 5883","5815, 5882","10609, 10677;10722, 10792","10718, 10823"
221,2005,d345,10609,FT934-13045,5653,"5819, 5837;5843, 5883","5815, 5882","10609, 10646;10764, 10824","10718, 10823"
222,2005,d345,9701,FT934-13045,5653,"5653, 5662;5664, 5707","5653, 5744","9726, 9795","9726, 9794"
223,2005,d345,2730,FT934-13045,5884,"5966, 5987;5989, 6056","5966, 6056","2730, 2743;2749, 2784","2730, 2783"
224,2005,d345,866,FT934-13045,5884,"5966, 5987;5989, 6056","5966, 6056","866, 982","866, 915"
225,2005,d345,7493,FT934-13045,5884,"5966, 5987;5989, 6056","5966, 6056","7493, 7530","7493, 7529"
226,2005,d345,7531,FT934-15352,669,"669, 732","669, 732;779, 834","7594, 7612;7620, 7679","7614, 7678"
227,2005,d345,7531,FT934-15352,669,"719, 732;749, 896","669, 732;779, 834","7594, 7612;7620, 7679","7614, 7678"
228,2005,d345,7680,FT934-15352,669,"719, 732;749, 896","734, 893","7680, 7747","7680, 7746"
229,2005,d345,8385,FT934-15352,1921,"1921, 1980","1921, 2087","8430, 8570","8529, 8570"
230,2005,d345,8385,FT934-15352,1921,"1989, 2041","1921, 2087","8430, 8570","8529, 8570"
231,2005,d345,8385,FT934-15352,1921,"2024, 2041;2047, 2088","1921, 2087","8430, 8570","8529, 8570"
232,2005,d345,6702,FT934-15352,1921,"1921, 1980","1921, 2087","6702, 6760;6822, 6928","6867, 6927"
233,2005,d345,6702,FT934-15352,1921,"1989, 2041","1921, 2087","6702, 6760;6822, 6928","6867, 6927"
234,2005,d345,6702,FT934-15352,1921,"2024, 2041;2047, 2088","1921, 2087","6702, 6760;6822, 6928","6867, 6927"
235,2005,d345,5304,FT934-2629,6355,"6432, 6499","6432, 6524","5304, 5324;5375, 5397","5375, 5397"
236,2005,d345,5304,FT934-2629,6355,"6480, 6499;6506, 6525","6432, 6524","5304, 5324;5375, 5397","5375, 5397"
237,2005,d345,2785,FT941-17680,0,"0, 78","0, 148","2785, 2796;2802, 2867","2785, 2866"
238,2005,d345,2785,FT941-17680,198,"229, 242;253, 301","244, 301","2785, 2796;2802, 2867","2785, 2866"
239,2005,d345,2785,FT941-17680,397,"397, 443","397, 443","2785, 2796;2802, 2867","2785, 2866"
